,HenryHub,,,,,,,,,,,,,,,,,,,,,,,,
11-08-2014,4,,,,,,,,,,,,,,,,,,,,,,,,
12-08-2014,3.94,,,,,,,,,,,,,,,,,,,,,,,,
13-08-2014,3.9,,,,,,,,,,,,,,,,,,,,,,,,
14-08-2014,3.85,,,,,,,,,,,,,,,,,,,,,,,,
15-08-2014,3.8,,,,,,,,,,,,,,,,,,,,,,,,
18-08-2014,3.78,,,,,,,,,,,,,,,,,,,,,,,,
19-08-2014,3.84,,,,,,,,,,,,,,,,,,,,,,,,
20-08-2014,3.88,,,,,,,,,,,,,,,,,,,,,,,,
21-08-2014,3.88,,,,,,,,,,,,,,,,,,,,,,,,
22-08-2014,3.88,,,,,,,,,,,,,,,,,,,,,,,,
25-08-2014,3.94,,,,,,,,,,,,,,,,,,,,,,,,
26-08-2014,3.99,,,,,,,,,,,,,,,,,,,,,,,,
27-08-2014,4.02,,,,,,,,,,,,,,,,,,,,,,,,
28-08-2014,4.06,,,,,,,,,,,,,,,,,,,,,,,,
29-08-2014,4.04,,,,,,,,,,,,,,,,,,,,,,,,
02-09-2014,4.01,,,,,,,,,,,,,,,,,,,,,,,,
03-09-2014,3.94,,,,,,,,,,,,,,,,,,,,,,,,
04-09-2014,3.91,,,,,,,,,,,,,,,,,,,,,,,,
05-09-2014,3.86,,,,,,,,,,,,,,,,,,,,,,,,
08-09-2014,3.86,,,,,,,,,,,,,,,,,,,,,,,,
09-09-2014,3.93,,,,,,,,,,,,,,,,,,,,,,,,
10-09-2014,3.98,,,,,,,,,,,,,,,,,,,,,,,,
11-09-2014,3.94,,,,,,,,,,,,,,,,,,,,,,,,
12-09-2014,3.82,,,,,,,,,,,,,,,,,,,,,,,,
15-09-2014,3.92,,,,,,,,,,,,,,,,,,,,,,,,
16-09-2014,3.85,,,,,,,,,,,,,,,,,,,,,,,,
17-09-2014,3.97,,,,,,,,,,,,,,,,,,,,,,,,
18-09-2014,3.99,,,,,,,,,,,,,,,,,,,,,,,,
19-09-2014,3.99,,,,,,,,,,,,,,,,,,,,,,,,
22-09-2014,3.88,,,,,,,,,,,,,,,,,,,,,,,,
23-09-2014,3.9,,,,,,,,,,,,,,,,,,,,,,,,
24-09-2014,3.84,,,,,,,,,,,,,,,,,,,,,,,,
25-09-2014,3.89,,,,,,,,,,,,,,,,,,,,,,,,
26-09-2014,3.89,,,,,,,,,,,,,,,,,,,,,,,,
29-09-2014,3.89,,,,,,,,,,,,,,,,,,,,,,,,
03-10-2014,3.94,,,,,,,,,,,,,,,,,,,,,,,,
06-10-2014,3.89,,,,,,,,,,,,,,,,,,,,,,,,
07-10-2014,3.88,,,,,,,,,,,,,,,,,,,,,,,,
08-10-2014,3.88,,,,,,,,,,,,,,,,,,,,,,,,
09-10-2014,3.87,,,,,,,,,,,,,,,,,,,,,,,,
10-10-2014,3.86,,,,,,,,,,,,,,,,,,,,,,,,
