"Data_Status","State","MSN","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"2015F","AL","GERCB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","13","14","15","16","14","15","16","17","18","20","20","23","25","33","35","40","47","57","68","85","96","93","99","99","99","99"
"2015F","AL","HYCCB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015F","AL","HYICB","259","259","261","262","258","257","261","255","248","256","246","248","248","249","247","248","248","247","245","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015F","AL","LGISB","6194","6202","7518","7843","7132","6433","5871","6813","6836","10405","6144","4593","5483","3697","2796","3643","3817","4392","3900","4012","3203","3526","4557","5486","5892","5953","4717","2350","665","5381","5469","8781","4566","3660","3541","2819","3392","5139","2532","1841","1804","1612","1813","1514","1190","1215"
"2015F","AL","LGRFB","142","159","127","153","221","295","746","635","945","150","602","23","83","21","15","14","18","9","9","17","9","7","10","9","9","10","7","3","1","8","9","13","8","9","3","2","2","2","3","1","1","1","1","28","0","0"
"2015F","AL","LOTCB","286529","294580","321850","345835","356598","330449","361803","388558","409244","409028","412844","398517","363444","361787","387861","392034","394952","413105","427872","458336","467046","467185","472479","495641","509352","526160","547468","556396","600099","607883","625033","576931","605969","601300","622043","633696","653314","656895","632116","560551","610207","579013","549685","568551","587447","553744"
"2015F","AL","NGISB","166779","157096","156759","148958","149966","141282","110999","119621","115273","139080","147873","155069","133544","115267","122582","121733","103729","103654","125946","135406","130994","137767","149280","160814","160990","182094","180650","181915","173783","180090","179960","137577","142622","141699","147084","133070","131675","134398","125444","114782","126405","133459","148280","173580","182710","182065"
"2015F","AL","NGLPB","221","491","1103","1367","1337","2025","2790","5600","3471","22014","10325","6009","5297","4908","5507","5682","5636","7104","6847","6337","10168","8861","13229","13769","13525","14691","13760","9881","10438","15838","16481","13508","14070","15199","16117","15479","18570","18076","18405","17385","16863","17589","19309","19572","16232","15617"
"2015F","AL","NGPZB","20485","21255","19657","20367","19864","17320","8422","10482","11160","13377","17008","18830","16650","13665","13581","11496","10178","12154","12465","13940","15060","16928","19154","16028","15354","20649","19773","21546","20737","22901","23622","20626","22399","19476","16310","15428","15288","16101","16788","19356","22468","23469","25755","22525","19192","18941"
"2015F","AL","NGRFB","9457","11338","13145","13435","13149","16697","12151","15197","17992","17662","18056","19337","19906","17785","16925","15535","17239","16340","18650","18117","18857","21247","24516","26360","26220","27918","27437","27664","33288","31492","28742","22508","22009","21495","20259","22531","22421","20036","20196","19974","20789","22407","26200","8836","8972","10038"
"2015F","AL","P5RFB","2513","2283","2707","2767","3103","6171","6536","7865","8350","9782","9476","5771","7159","4316","6088","5170","7196","11018","10891","10830","8788","8897","8260","8511","9357","8839","10971","11322","9124","9208","8371","9761","10512","11602","9886","12427","11334","11529","10318","9811","10633","10851","11113","10524","9662","10717"
"2015F","AL","PCISB","7097","10999","12334","10187","10500","11700","10582","14094","11836","8574","5774","12222","9670","5049","7671","8311","3359","5376","5433","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015F","AL","PCRFB","0","0","0","0","0","0","0","0","0","367","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
